[54614:15826905:0606/155935.997774:INFO:components/enterprise/browser/controller/chrome_browser_cloud_management_controller.cc:238] No machine level policy manager exists.
[54614:15826931:0606/155936.071829:WARNING:chrome/browser/extensions/external_pref_loader.cc:294] You are using an old-style extension deployment method (external_extensions.json), which will soon be deprecated. (see http://developer.chrome.com/docs/extensions/how-to/distribute/install-extensions)
[54614:15826905:0606/155937.367302:INFO:CONSOLE:326] "The AudioContext was not allowed to start. It must be resumed (or created) after a user gesture on the page. https://developer.chrome.com/blog/autoplay/#web_audio", source: file:///Users/teddy/Documents/github/typing-mini-games/app.js (326)
[54614:15826905:0606/155937.367359:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.367374:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.367400:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.383146:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.387540:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.403751:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.420668:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.437989:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.454315:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.472056:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.487789:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.503011:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.521244:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.539144:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.554207:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.569888:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
[54614:15826905:0606/155937.588766:INFO:CONSOLE:431] "Uncaught TypeError: this.drawParticles is not a function", source: file:///Users/teddy/Documents/github/typing-mini-games/wordDefender.js (431)
